,date,year,month,day,weekday,weekday_name,weeknumber,is_weekend,is_business_day,is_holiday,holiday_name
127,2017-05-08,2017,5,8,1,Monday,19,0,1,0,
128,2017-05-09,2017,5,9,2,Tuesday,19,0,1,0,
129,2017-05-10,2017,5,10,3,Wednesday,19,0,1,0,
130,2017-05-11,2017,5,11,4,Thursday,19,0,1,0,
131,2017-05-12,2017,5,12,5,Friday,19,0,1,0,
132,2017-05-13,2017,5,13,6,Saturday,19,1,0,0,
133,2017-05-14,2017,5,14,7,Sunday,19,1,0,0,
134,2017-05-15,2017,5,15,1,Monday,20,0,1,0,
135,2017-05-16,2017,5,16,2,Tuesday,20,0,1,0,
136,2017-05-17,2017,5,17,3,Wednesday,20,0,1,0,
137,2017-05-18,2017,5,18,4,Thursday,20,0,1,0,
138,2017-05-19,2017,5,19,5,Friday,20,0,0,1, Atatürk'ü Anma Gençlik ve Spor Bayramı
139,2017-05-20,2017,5,20,6,Saturday,20,1,0,0,
140,2017-05-21,2017,5,21,7,Sunday,20,1,0,0,
141,2017-05-22,2017,5,22,1,Monday,21,0,1,0,
142,2017-05-23,2017,5,23,2,Tuesday,21,0,1,0,
143,2017-05-24,2017,5,24,3,Wednesday,21,0,1,0,
144,2017-05-25,2017,5,25,4,Thursday,21,0,1,0,
145,2017-05-26,2017,5,26,5,Friday,21,0,1,0,
146,2017-05-27,2017,5,27,6,Saturday,21,1,0,0,
147,2017-05-28,2017,5,28,7,Sunday,21,1,0,0,
148,2017-05-29,2017,5,29,1,Monday,22,0,1,0,
149,2017-05-30,2017,5,30,2,Tuesday,22,0,1,0,
150,2017-05-31,2017,5,31,3,Wednesday,22,0,1,0,
151,2017-06-01,2017,6,1,4,Thursday,22,0,1,0,
152,2017-06-02,2017,6,2,5,Friday,22,0,1,0,
153,2017-06-03,2017,6,3,6,Saturday,22,1,0,0,
154,2017-06-04,2017,6,4,7,Sunday,22,1,0,0,
155,2017-06-05,2017,6,5,1,Monday,23,0,1,0,
156,2017-06-06,2017,6,6,2,Tuesday,23,0,1,0,
157,2017-06-07,2017,6,7,3,Wednesday,23,0,1,0,
158,2017-06-08,2017,6,8,4,Thursday,23,0,1,0,
159,2017-06-09,2017,6,9,5,Friday,23,0,1,0,
160,2017-06-10,2017,6,10,6,Saturday,23,1,0,0,
161,2017-06-11,2017,6,11,7,Sunday,23,1,0,0,
162,2017-06-12,2017,6,12,1,Monday,24,0,1,0,
163,2017-06-13,2017,6,13,2,Tuesday,24,0,1,0,
164,2017-06-14,2017,6,14,3,Wednesday,24,0,1,0,
165,2017-06-15,2017,6,15,4,Thursday,24,0,1,0,
166,2017-06-16,2017,6,16,5,Friday,24,0,1,0,
167,2017-06-17,2017,6,17,6,Saturday,24,1,0,0,
168,2017-06-18,2017,6,18,7,Sunday,24,1,0,0,
169,2017-06-19,2017,6,19,1,Monday,25,0,1,0,
170,2017-06-20,2017,6,20,2,Tuesday,25,0,1,0,
171,2017-06-21,2017,6,21,3,Wednesday,25,0,1,0,
172,2017-06-22,2017,6,22,4,Thursday,25,0,1,0,
173,2017-06-23,2017,6,23,5,Friday,25,0,1,0,
174,2017-06-24,2017,6,24,6,Saturday,25,1,0,1, Ramazan Bayramı Arifesi
175,2017-06-25,2017,6,25,7,Sunday,25,1,0,1, Ramazan Bayramı
176,2017-06-26,2017,6,26,1,Monday,26,0,0,1, Ramazan Bayramı
177,2017-06-27,2017,6,27,2,Tuesday,26,0,0,1, Ramazan Bayramı
178,2017-06-28,2017,6,28,3,Wednesday,26,0,1,0,
179,2017-06-29,2017,6,29,4,Thursday,26,0,1,0,
180,2017-06-30,2017,6,30,5,Friday,26,0,1,0,
181,2017-07-01,2017,7,1,6,Saturday,26,1,0,0,
182,2017-07-02,2017,7,2,7,Sunday,26,1,0,0,
183,2017-07-03,2017,7,3,1,Monday,27,0,1,0,
184,2017-07-04,2017,7,4,2,Tuesday,27,0,1,0,
185,2017-07-05,2017,7,5,3,Wednesday,27,0,1,0,
186,2017-07-06,2017,7,6,4,Thursday,27,0,1,0,
187,2017-07-07,2017,7,7,5,Friday,27,0,1,0,
188,2017-07-08,2017,7,8,6,Saturday,27,1,0,0,
189,2017-07-09,2017,7,9,7,Sunday,27,1,0,0,
190,2017-07-10,2017,7,10,1,Monday,28,0,1,0,
191,2017-07-11,2017,7,11,2,Tuesday,28,0,1,0,
192,2017-07-12,2017,7,12,3,Wednesday,28,0,1,0,
193,2017-07-13,2017,7,13,4,Thursday,28,0,1,0,
194,2017-07-14,2017,7,14,5,Friday,28,0,1,0,
195,2017-07-15,2017,7,15,6,Saturday,28,1,0,1, Demokrasi ve Milli Birlik Günü
196,2017-07-16,2017,7,16,7,Sunday,28,1,0,0,
197,2017-07-17,2017,7,17,1,Monday,29,0,1,0,
198,2017-07-18,2017,7,18,2,Tuesday,29,0,1,0,
199,2017-07-19,2017,7,19,3,Wednesday,29,0,1,0,
200,2017-07-20,2017,7,20,4,Thursday,29,0,1,0,
201,2017-07-21,2017,7,21,5,Friday,29,0,1,0,
202,2017-07-22,2017,7,22,6,Saturday,29,1,0,0,
203,2017-07-23,2017,7,23,7,Sunday,29,1,0,0,
204,2017-07-24,2017,7,24,1,Monday,30,0,1,0,
205,2017-07-25,2017,7,25,2,Tuesday,30,0,1,0,
206,2017-07-26,2017,7,26,3,Wednesday,30,0,1,0,
207,2017-07-27,2017,7,27,4,Thursday,30,0,1,0,
208,2017-07-28,2017,7,28,5,Friday,30,0,1,0,
209,2017-07-29,2017,7,29,6,Saturday,30,1,0,0,
210,2017-07-30,2017,7,30,7,Sunday,30,1,0,0,
211,2017-07-31,2017,7,31,1,Monday,31,0,1,0,
212,2017-08-01,2017,8,1,2,Tuesday,31,0,1,0,
213,2017-08-02,2017,8,2,3,Wednesday,31,0,1,0,
214,2017-08-03,2017,8,3,4,Thursday,31,0,1,0,
215,2017-08-04,2017,8,4,5,Friday,31,0,1,0,
216,2017-08-05,2017,8,5,6,Saturday,31,1,0,0,
217,2017-08-06,2017,8,6,7,Sunday,31,1,0,0,
218,2017-08-07,2017,8,7,1,Monday,32,0,1,0,
219,2017-08-08,2017,8,8,2,Tuesday,32,0,1,0,
220,2017-08-09,2017,8,9,3,Wednesday,32,0,1,0,
221,2017-08-10,2017,8,10,4,Thursday,32,0,1,0,
222,2017-08-11,2017,8,11,5,Friday,32,0,1,0,
223,2017-08-12,2017,8,12,6,Saturday,32,1,0,0,
224,2017-08-13,2017,8,13,7,Sunday,32,1,0,0,
225,2017-08-14,2017,8,14,1,Monday,33,0,1,0,
226,2017-08-15,2017,8,15,2,Tuesday,33,0,1,0,
227,2017-08-16,2017,8,16,3,Wednesday,33,0,1,0,
228,2017-08-17,2017,8,17,4,Thursday,33,0,1,0,
229,2017-08-18,2017,8,18,5,Friday,33,0,1,0,
230,2017-08-19,2017,8,19,6,Saturday,33,1,0,0,
231,2017-08-20,2017,8,20,7,Sunday,33,1,0,0,
232,2017-08-21,2017,8,21,1,Monday,34,0,1,0,
233,2017-08-22,2017,8,22,2,Tuesday,34,0,1,0,
234,2017-08-23,2017,8,23,3,Wednesday,34,0,1,0,
235,2017-08-24,2017,8,24,4,Thursday,34,0,1,0,
236,2017-08-25,2017,8,25,5,Friday,34,0,1,0,
237,2017-08-26,2017,8,26,6,Saturday,34,1,0,0,
238,2017-08-27,2017,8,27,7,Sunday,34,1,0,0,
239,2017-08-28,2017,8,28,1,Monday,35,0,1,0,
240,2017-08-29,2017,8,29,2,Tuesday,35,0,1,0,
241,2017-08-30,2017,8,30,3,Wednesday,35,0,0,1, Zafer Bayramı
242,2017-08-31,2017,8,31,4,Thursday,35,0,0,1, Kurban Bayramı Arifesi
243,2017-09-01,2017,9,1,5,Friday,35,0,0,1, Kurban Bayramı
244,2017-09-02,2017,9,2,6,Saturday,35,1,0,1, Kurban Bayramı
245,2017-09-03,2017,9,3,7,Sunday,35,1,0,1, Kurban Bayramı
246,2017-09-04,2017,9,4,1,Monday,36,0,0,1, Kurban Bayramı
247,2017-09-05,2017,9,5,2,Tuesday,36,0,1,0,
248,2017-09-06,2017,9,6,3,Wednesday,36,0,1,0,
249,2017-09-07,2017,9,7,4,Thursday,36,0,1,0,
250,2017-09-08,2017,9,8,5,Friday,36,0,1,0,
251,2017-09-09,2017,9,9,6,Saturday,36,1,0,0,
252,2017-09-10,2017,9,10,7,Sunday,36,1,0,0,
253,2017-09-11,2017,9,11,1,Monday,37,0,1,0,
254,2017-09-12,2017,9,12,2,Tuesday,37,0,1,0,
255,2017-09-13,2017,9,13,3,Wednesday,37,0,1,0,
256,2017-09-14,2017,9,14,4,Thursday,37,0,1,0,
257,2017-09-15,2017,9,15,5,Friday,37,0,1,0,
258,2017-09-16,2017,9,16,6,Saturday,37,1,0,0,
259,2017-09-17,2017,9,17,7,Sunday,37,1,0,0,
260,2017-09-18,2017,9,18,1,Monday,38,0,1,0,
261,2017-09-19,2017,9,19,2,Tuesday,38,0,1,0,
262,2017-09-20,2017,9,20,3,Wednesday,38,0,1,0,
263,2017-09-21,2017,9,21,4,Thursday,38,0,1,0,
264,2017-09-22,2017,9,22,5,Friday,38,0,1,0,
265,2017-09-23,2017,9,23,6,Saturday,38,1,0,0,
266,2017-09-24,2017,9,24,7,Sunday,38,1,0,0,
267,2017-09-25,2017,9,25,1,Monday,39,0,1,0,
268,2017-09-26,2017,9,26,2,Tuesday,39,0,1,0,
269,2017-09-27,2017,9,27,3,Wednesday,39,0,1,0,
270,2017-09-28,2017,9,28,4,Thursday,39,0,1,0,
271,2017-09-29,2017,9,29,5,Friday,39,0,1,0,
272,2017-09-30,2017,9,30,6,Saturday,39,1,0,0,
273,2017-10-01,2017,10,1,7,Sunday,39,1,0,0,
274,2017-10-02,2017,10,2,1,Monday,40,0,1,0,
275,2017-10-03,2017,10,3,2,Tuesday,40,0,1,0,
276,2017-10-04,2017,10,4,3,Wednesday,40,0,1,0,
277,2017-10-05,2017,10,5,4,Thursday,40,0,1,0,
278,2017-10-06,2017,10,6,5,Friday,40,0,1,0,
279,2017-10-07,2017,10,7,6,Saturday,40,1,0,0,
280,2017-10-08,2017,10,8,7,Sunday,40,1,0,0,
281,2017-10-09,2017,10,9,1,Monday,41,0,1,0,
282,2017-10-10,2017,10,10,2,Tuesday,41,0,1,0,
283,2017-10-11,2017,10,11,3,Wednesday,41,0,1,0,
284,2017-10-12,2017,10,12,4,Thursday,41,0,1,0,
285,2017-10-13,2017,10,13,5,Friday,41,0,1,0,
286,2017-10-14,2017,10,14,6,Saturday,41,1,0,0,
287,2017-10-15,2017,10,15,7,Sunday,41,1,0,0,
288,2017-10-16,2017,10,16,1,Monday,42,0,1,0,
289,2017-10-17,2017,10,17,2,Tuesday,42,0,1,0,
290,2017-10-18,2017,10,18,3,Wednesday,42,0,1,0,
291,2017-10-19,2017,10,19,4,Thursday,42,0,1,0,
292,2017-10-20,2017,10,20,5,Friday,42,0,1,0,
293,2017-10-21,2017,10,21,6,Saturday,42,1,0,0,
294,2017-10-22,2017,10,22,7,Sunday,42,1,0,0,
295,2017-10-23,2017,10,23,1,Monday,43,0,1,0,
296,2017-10-24,2017,10,24,2,Tuesday,43,0,1,0,
297,2017-10-25,2017,10,25,3,Wednesday,43,0,1,0,
298,2017-10-26,2017,10,26,4,Thursday,43,0,1,0,
299,2017-10-27,2017,10,27,5,Friday,43,0,1,0,
300,2017-10-28,2017,10,28,6,Saturday,43,1,0,1, Cumhuriyet Bayramı
301,2017-10-29,2017,10,29,7,Sunday,43,1,0,1, Cumhuriyet Bayramı
302,2017-10-30,2017,10,30,1,Monday,44,0,1,0,
303,2017-10-31,2017,10,31,2,Tuesday,44,0,1,0,
304,2017-11-01,2017,11,1,3,Wednesday,44,0,1,0,
305,2017-11-02,2017,11,2,4,Thursday,44,0,1,0,
306,2017-11-03,2017,11,3,5,Friday,44,0,1,0,
307,2017-11-04,2017,11,4,6,Saturday,44,1,0,0,
308,2017-11-05,2017,11,5,7,Sunday,44,1,0,0,
309,2017-11-06,2017,11,6,1,Monday,45,0,1,0,
310,2017-11-07,2017,11,7,2,Tuesday,45,0,1,0,
311,2017-11-08,2017,11,8,3,Wednesday,45,0,1,0,
312,2017-11-09,2017,11,9,4,Thursday,45,0,1,0,
313,2017-11-10,2017,11,10,5,Friday,45,0,1,0,
314,2017-11-11,2017,11,11,6,Saturday,45,1,0,0,
315,2017-11-12,2017,11,12,7,Sunday,45,1,0,0,
316,2017-11-13,2017,11,13,1,Monday,46,0,1,0,
317,2017-11-14,2017,11,14,2,Tuesday,46,0,1,0,
318,2017-11-15,2017,11,15,3,Wednesday,46,0,1,0,
319,2017-11-16,2017,11,16,4,Thursday,46,0,1,0,
320,2017-11-17,2017,11,17,5,Friday,46,0,1,0,
321,2017-11-18,2017,11,18,6,Saturday,46,1,0,0,
322,2017-11-19,2017,11,19,7,Sunday,46,1,0,0,
323,2017-11-20,2017,11,20,1,Monday,47,0,1,0,
324,2017-11-21,2017,11,21,2,Tuesday,47,0,1,0,
325,2017-11-22,2017,11,22,3,Wednesday,47,0,1,0,
326,2017-11-23,2017,11,23,4,Thursday,47,0,1,0,
327,2017-11-24,2017,11,24,5,Friday,47,0,1,0,
328,2017-11-25,2017,11,25,6,Saturday,47,1,0,0,
329,2017-11-26,2017,11,26,7,Sunday,47,1,0,0,
330,2017-11-27,2017,11,27,1,Monday,48,0,1,0,
331,2017-11-28,2017,11,28,2,Tuesday,48,0,1,0,
332,2017-11-29,2017,11,29,3,Wednesday,48,0,1,0,
333,2017-11-30,2017,11,30,4,Thursday,48,0,1,0,
334,2017-12-01,2017,12,1,5,Friday,48,0,1,0,
335,2017-12-02,2017,12,2,6,Saturday,48,1,0,0,
336,2017-12-03,2017,12,3,7,Sunday,48,1,0,0,
337,2017-12-04,2017,12,4,1,Monday,49,0,1,0,
338,2017-12-05,2017,12,5,2,Tuesday,49,0,1,0,
339,2017-12-06,2017,12,6,3,Wednesday,49,0,1,0,
340,2017-12-07,2017,12,7,4,Thursday,49,0,1,0,
341,2017-12-08,2017,12,8,5,Friday,49,0,1,0,
342,2017-12-09,2017,12,9,6,Saturday,49,1,0,0,
343,2017-12-10,2017,12,10,7,Sunday,49,1,0,0,
344,2017-12-11,2017,12,11,1,Monday,50,0,1,0,
345,2017-12-12,2017,12,12,2,Tuesday,50,0,1,0,
346,2017-12-13,2017,12,13,3,Wednesday,50,0,1,0,
347,2017-12-14,2017,12,14,4,Thursday,50,0,1,0,
348,2017-12-15,2017,12,15,5,Friday,50,0,1,0,
349,2017-12-16,2017,12,16,6,Saturday,50,1,0,0,
350,2017-12-17,2017,12,17,7,Sunday,50,1,0,0,
351,2017-12-18,2017,12,18,1,Monday,51,0,1,0,
352,2017-12-19,2017,12,19,2,Tuesday,51,0,1,0,
353,2017-12-20,2017,12,20,3,Wednesday,51,0,1,0,
354,2017-12-21,2017,12,21,4,Thursday,51,0,1,0,
355,2017-12-22,2017,12,22,5,Friday,51,0,1,0,
356,2017-12-23,2017,12,23,6,Saturday,51,1,0,0,
357,2017-12-24,2017,12,24,7,Sunday,51,1,0,0,
358,2017-12-25,2017,12,25,1,Monday,52,0,1,0,
359,2017-12-26,2017,12,26,2,Tuesday,52,0,1,0,
360,2017-12-27,2017,12,27,3,Wednesday,52,0,1,0,
361,2017-12-28,2017,12,28,4,Thursday,52,0,1,0,
362,2017-12-29,2017,12,29,5,Friday,52,0,1,0,
363,2017-12-30,2017,12,30,6,Saturday,52,1,0,0,
364,2017-12-31,2017,12,31,7,Sunday,52,1,0,0,
365,2018-01-01,2018,1,1,1,Monday,1,0,0,1, Yılbaşı
366,2018-01-02,2018,1,2,2,Tuesday,1,0,1,0,
367,2018-01-03,2018,1,3,3,Wednesday,1,0,1,0,
368,2018-01-04,2018,1,4,4,Thursday,1,0,1,0,
369,2018-01-05,2018,1,5,5,Friday,1,0,1,0,
370,2018-01-06,2018,1,6,6,Saturday,1,1,0,0,
371,2018-01-07,2018,1,7,7,Sunday,1,1,0,0,
372,2018-01-08,2018,1,8,1,Monday,2,0,1,0,
373,2018-01-09,2018,1,9,2,Tuesday,2,0,1,0,
374,2018-01-10,2018,1,10,3,Wednesday,2,0,1,0,
375,2018-01-11,2018,1,11,4,Thursday,2,0,1,0,
376,2018-01-12,2018,1,12,5,Friday,2,0,1,0,
377,2018-01-13,2018,1,13,6,Saturday,2,1,0,0,
378,2018-01-14,2018,1,14,7,Sunday,2,1,0,0,
379,2018-01-15,2018,1,15,1,Monday,3,0,1,0,
380,2018-01-16,2018,1,16,2,Tuesday,3,0,1,0,
381,2018-01-17,2018,1,17,3,Wednesday,3,0,1,0,
382,2018-01-18,2018,1,18,4,Thursday,3,0,1,0,
383,2018-01-19,2018,1,19,5,Friday,3,0,1,0,
384,2018-01-20,2018,1,20,6,Saturday,3,1,0,0,
385,2018-01-21,2018,1,21,7,Sunday,3,1,0,0,
386,2018-01-22,2018,1,22,1,Monday,4,0,1,0,
387,2018-01-23,2018,1,23,2,Tuesday,4,0,1,0,
388,2018-01-24,2018,1,24,3,Wednesday,4,0,1,0,
389,2018-01-25,2018,1,25,4,Thursday,4,0,1,0,
390,2018-01-26,2018,1,26,5,Friday,4,0,1,0,
391,2018-01-27,2018,1,27,6,Saturday,4,1,0,0,
392,2018-01-28,2018,1,28,7,Sunday,4,1,0,0,
393,2018-01-29,2018,1,29,1,Monday,5,0,1,0,
394,2018-01-30,2018,1,30,2,Tuesday,5,0,1,0,
395,2018-01-31,2018,1,31,3,Wednesday,5,0,1,0,
396,2018-02-01,2018,2,1,4,Thursday,5,0,1,0,
397,2018-02-02,2018,2,2,5,Friday,5,0,1,0,
398,2018-02-03,2018,2,3,6,Saturday,5,1,0,0,
399,2018-02-04,2018,2,4,7,Sunday,5,1,0,0,
400,2018-02-05,2018,2,5,1,Monday,6,0,1,0,
401,2018-02-06,2018,2,6,2,Tuesday,6,0,1,0,
402,2018-02-07,2018,2,7,3,Wednesday,6,0,1,0,
403,2018-02-08,2018,2,8,4,Thursday,6,0,1,0,
404,2018-02-09,2018,2,9,5,Friday,6,0,1,0,
405,2018-02-10,2018,2,10,6,Saturday,6,1,0,0,
406,2018-02-11,2018,2,11,7,Sunday,6,1,0,0,
407,2018-02-12,2018,2,12,1,Monday,7,0,1,0,
408,2018-02-13,2018,2,13,2,Tuesday,7,0,1,0,
409,2018-02-14,2018,2,14,3,Wednesday,7,0,1,0,
410,2018-02-15,2018,2,15,4,Thursday,7,0,1,0,
411,2018-02-16,2018,2,16,5,Friday,7,0,1,0,
412,2018-02-17,2018,2,17,6,Saturday,7,1,0,0,
413,2018-02-18,2018,2,18,7,Sunday,7,1,0,0,
414,2018-02-19,2018,2,19,1,Monday,8,0,1,0,
415,2018-02-20,2018,2,20,2,Tuesday,8,0,1,0,
416,2018-02-21,2018,2,21,3,Wednesday,8,0,1,0,
417,2018-02-22,2018,2,22,4,Thursday,8,0,1,0,
418,2018-02-23,2018,2,23,5,Friday,8,0,1,0,
419,2018-02-24,2018,2,24,6,Saturday,8,1,0,0,
420,2018-02-25,2018,2,25,7,Sunday,8,1,0,0,
421,2018-02-26,2018,2,26,1,Monday,9,0,1,0,
422,2018-02-27,2018,2,27,2,Tuesday,9,0,1,0,
423,2018-02-28,2018,2,28,3,Wednesday,9,0,1,0,
424,2018-03-01,2018,3,1,4,Thursday,9,0,1,0,
425,2018-03-02,2018,3,2,5,Friday,9,0,1,0,
426,2018-03-03,2018,3,3,6,Saturday,9,1,0,0,
